case_id,province,year_reported,maid_cases,approval_status
M0,alta,2021,4229,Approved
M1,BC,2022,933,Approved
M2,Quebec,2021,829,Approved
M3,Quebec,2021,4468,Approved
M4,ont,2019,1106,Approved
M5,AB,2019,3665,Pending
M6,ON,2022,1611,Approved
M7,QC,2019,3499,Approved
M8,MB,2020,4354,Approved
M9,man,2019,1095,Approved
M10,ON,2022,1528,Approved
M11,b.c.,2019,3791,Approved
M12,qc,2020,937,Approved
M13,MB,2021,1441,Approved
M14,British Columbia,2019,2607,Approved
M15,man,2020,701,Approved
M16,qc,2021,4251,Approved
M17,ON,2019,1004,Approved
M18,ont,2020,1979,Approved
M19,BC,2019,3628,Pending
M20,ON,2019,2853,Approved
M21,QC,2020,2905,Approved
M22,Alberta,2020,4393,Approved
M23,Quebec,2020,4468,Approved
M24,Manitoba,2019,3831,Approved
M25,QC,2019,3524,Pending
M26,British Columbia,2019,563,Approved
M27,QC,2022,3171,Approved
M28,man,2020,2774,Approved
M29,AB,2019,4398,Approved
M30,ON,2021,792,Approved
M31,alta,2020,4622,Approved
M32,Alberta,2020,697,Approved
M33,ont,2019,1659,Pending
M34,AB,2022,2875,Approved
M35,Ontario,2022,1631,Approved
M36,Alberta,2020,2207,Approved
M37,ont,2020,3646,Approved
M38,AB,2022,4878,Approved
M39,alta,2020,1327,Approved
